AccX,AccY,AccZ,GyroX,GyroY,GyroZ
351.00,470.00,-4414.00,29.00,10.00,-27.00
364.00,449.00,-4425.00,41.00,8.00,-32.00
352.00,477.00,-4408.00,38.00,-3.00,-28.00
352.00,437.00,-4388.00,38.00,5.00,-35.00
331.00,431.00,-4407.00,39.00,-1.00,-28.00
318.00,466.00,-4402.00,40.00,5.00,-23.00
320.00,448.00,-4393.00,26.00,8.00,-38.00
362.00,448.00,-4395.00,40.00,10.00,-23.00
351.00,447.00,-4407.00,42.00,-1.00,-38.00
377.00,437.00,-4419.00,39.00,5.00,-27.00
330.00,441.00,-4397.00,30.00,3.00,-31.00
359.00,440.00,-4415.00,32.00,8.00,-20.00
336.00,446.00,-4405.00,47.00,2.00,-26.00
363.00,462.00,-4388.00,48.00,-3.00,-25.00
351.00,442.00,-4396.00,39.00,2.00,-38.00
365.00,443.00,-4453.00,26.00,-4.00,-29.00
370.00,452.00,-4430.00,37.00,10.00,-27.00
349.00,459.00,-4421.00,29.00,6.00,-25.00
339.00,439.00,-4432.00,38.00,3.00,-22.00
366.00,479.00,-4399.00,40.00,4.00,-28.00
342.00,437.00,-4433.00,28.00,10.00,-14.00
342.00,458.00,-4397.00,38.00,8.00,-35.00
340.00,470.00,-4406.00,38.00,-4.00,-28.00
362.00,462.00,-4399.00,31.00,1.00,-30.00
357.00,464.00,-4421.00,29.00,3.00,-25.00
334.00,444.00,-4396.00,38.00,14.00,-25.00
349.00,461.00,-4431.00,28.00,1.00,-49.00
346.00,458.00,-4391.00,38.00,13.00,-27.00
343.00,458.00,-4425.00,49.00,8.00,-34.00
340.00,440.00,-4398.00,36.00,15.00,-25.00
367.00,443.00,-4415.00,36.00,8.00,-38.00
360.00,454.00,-4428.00,34.00,10.00,-17.00
356.00,474.00,-4405.00,31.00,2.00,-24.00
373.00,428.00,-4396.00,40.00,7.00,-24.00
346.00,454.00,-4409.00,29.00,4.00,-24.00
339.00,468.00,-4415.00,48.00,-2.00,-30.00
332.00,439.00,-4420.00,38.00,2.00,-27.00
346.00,442.00,-4408.00,50.00,-2.00,-21.00
358.00,428.00,-4414.00,48.00,13.00,-24.00
369.00,457.00,-4381.00,35.00,6.00,-26.00
342.00,453.00,-4430.00,24.00,5.00,-20.00
339.00,439.00,-4426.00,51.00,9.00,-28.00
369.00,475.00,-4408.00,44.00,14.00,-28.00
331.00,454.00,-4402.00,31.00,6.00,-21.00
361.00,453.00,-4408.00,34.00,4.00,-41.00
343.00,448.00,-4403.00,34.00,2.00,-24.00
346.00,458.00,-4433.00,41.00,13.00,-36.00
354.00,451.00,-4437.00,33.00,9.00,-30.00
342.00,455.00,-4410.00,39.00,6.00,-27.00
334.00,450.00,-4406.00,26.00,-6.00,-33.00
353.00,457.00,-4396.00,33.00,9.00,-29.00
344.00,479.00,-4381.00,38.00,3.00,-29.00
334.00,453.00,-4400.00,43.00,11.00,-21.00
364.00,460.00,-4387.00,34.00,14.00,-38.00
366.00,437.00,-4391.00,43.00,17.00,-22.00
358.00,439.00,-4403.00,49.00,9.00,-26.00
349.00,472.00,-4425.00,45.00,2.00,-28.00
355.00,447.00,-4385.00,35.00,10.00,-26.00
341.00,459.00,-4398.00,36.00,10.00,-32.00
375.00,460.00,-4392.00,38.00,12.00,-18.00
339.00,463.00,-4425.00,33.00,5.00,-25.00
325.00,459.00,-4411.00,34.00,9.00,-27.00
