time,z_0,z_1,z_2,z_3,x_0,x_1,x_2,x_3,y_0,y_1,y_2,y_3,epsilon
18464,-3.65,-2.42,-6.44,-4.06,-0.07,-0.05,-0.59,-0.37,-3.58,-2.37,-5.86,-3.69,4.72
40324,-4.53,-0.90,-1.45,-0.72,-0.16,-0.07,-0.66,-0.40,-4.37,-0.84,-0.79,-0.32,0.46
62168,-4.07,-3.87,3.59,4.12,-0.24,-0.14,-0.33,-0.05,-3.83,-3.74,3.92,4.17,3.59
83984,-4.56,-4.22,7.25,12.06,-0.31,-0.20,0.21,0.81,-4.25,-4.02,7.04,11.25,17.03
105940,-3.18,-0.85,9.16,16.84,-0.35,-0.19,0.80,1.88,-2.83,-0.66,8.36,14.96,27.57
127928,-4.22,-1.58,2.40,3.62,-0.41,-0.20,0.90,1.99,-3.81,-1.38,1.49,1.63,0.78
149780,-1.72,2.81,-2.90,-4.40,-0.44,-0.15,0.68,1.61,-1.29,2.96,-3.58,-6.01,4.81
171672,-3.98,-0.30,2.03,-1.36,-0.49,-0.15,0.75,1.45,-3.49,-0.15,1.28,-2.81,1.14
193556,-1.62,2.10,1.91,8.41,-0.51,-0.10,0.81,1.82,-1.11,2.20,1.10,6.60,4.35
215472,3.41,14.43,-5.25,-3.86,-0.45,0.14,0.51,1.54,3.86,14.29,-5.76,-5.40,10.24
237488,-2.02,2.56,0.34,-0.63,-0.47,0.18,0.50,1.44,-1.55,2.37,-0.17,-2.06,0.57
259324,-1.22,3.52,1.21,11.77,-0.48,0.26,0.53,1.91,-0.74,3.25,0.67,9.86,9.55
281204,-1.49,8.91,-1.59,6.02,-0.50,0.42,0.44,2.09,-0.99,8.50,-2.03,3.93,3.31
303048,-5.65,5.52,-9.89,-4.02,-0.60,0.49,0.01,1.84,-5.05,5.03,-9.90,-5.85,13.68
324960,-6.99,-3.64,-4.46,-8.63,-0.71,0.41,-0.17,1.42,-6.28,-4.05,-4.29,-10.04,12.54
346976,-1.11,-2.43,-2.52,-2.35,-0.72,0.37,-0.26,1.27,-0.39,-2.80,-2.26,-3.62,1.91
368916,-1.44,0.10,0.87,3.21,-0.73,0.37,-0.22,1.34,-0.71,-0.27,1.09,1.86,0.46
390740,-5.69,0.49,3.51,0.69,-0.80,0.38,-0.09,1.32,-4.89,0.12,3.60,-0.63,1.76
412572,-2.59,0.28,-2.27,-1.19,-0.83,0.38,-0.17,1.23,-1.77,-0.10,-2.11,-2.42,1.06
434468,-3.76,-3.79,-1.34,-5.74,-0.87,0.31,-0.21,1.00,-2.88,-4.09,-1.14,-6.74,5.01
456368,-1.68,0.69,-3.98,-6.96,-0.89,0.30,-0.33,0.74,-0.79,0.39,-3.66,-7.70,7.05
478240,-2.32,0.60,-0.93,-4.40,-0.92,0.29,-0.35,0.58,-1.40,0.30,-0.58,-4.98,2.47
500084,1.53,0.79,-1.07,0.00,-0.89,0.30,-0.37,0.56,2.41,0.48,-0.70,-0.56,0.20
521876,-2.35,-0.92,-3.21,-0.24,-0.91,0.28,-0.45,0.54,-1.43,-1.20,-2.75,-0.78,0.86
543788,-1.49,-1.05,-4.64,-0.21,-0.93,0.27,-0.57,0.52,-0.56,-1.32,-4.07,-0.73,1.70
565688,-6.21,-6.37,-4.37,-7.51,-1.01,0.16,-0.68,0.29,-5.20,-6.53,-3.68,-7.80,8.61
587608,-7.14,-0.73,-1.28,-5.98,-1.10,0.14,-0.70,0.12,-6.05,-0.87,-0.58,-6.11,4.40
609512,-6.62,-3.36,-1.51,-15.62,-1.17,0.05,-0.72,-0.30,-5.45,-3.42,-0.79,-15.32,23.73
631608,0.32,0.89,-2.63,-4.60,-1.16,0.05,-0.77,-0.41,1.48,0.84,-1.85,-4.19,2.10
653484,-2.13,-1.23,1.30,-8.26,-1.17,0.02,-0.72,-0.60,-0.96,-1.24,2.02,-7.66,6.16
675384,-4.23,1.39,-2.08,-3.50,-1.22,0.02,-0.76,-0.67,-3.01,1.37,-1.32,-2.82,1.16
697292,-3.02,-0.24,-1.76,0.15,-1.24,0.02,-0.78,-0.65,-1.78,-0.26,-0.98,0.81,0.22
719176,-4.03,1.09,0.37,-2.64,-1.28,0.03,-0.76,-0.70,-2.75,1.07,1.12,-1.94,0.66
741040,-4.21,1.12,0.34,-3.66,-1.31,0.03,-0.73,-0.77,-2.89,1.09,1.07,-2.90,1.12
762920,-2.28,-0.31,-2.23,-20.23,-1.33,-0.03,-0.77,-1.20,-0.95,-0.28,-1.46,-19.03,35.64
785036,-2.56,-2.22,-4.78,-15.02,-1.36,-0.09,-0.85,-1.50,-1.20,-2.13,-3.93,-13.52,19.51
807176,-0.49,-2.81,-5.40,1.54,-1.36,-0.12,-0.95,-1.44,0.87,-2.69,-4.45,2.98,2.97
829084,-0.25,-3.33,-7.85,1.25,-1.37,-0.16,-1.09,-1.38,1.12,-3.17,-6.75,2.63,5.37
851016,-2.33,-2.85,-4.63,-3.04,-1.39,-0.20,-1.17,-1.42,-0.93,-2.66,-3.46,-1.62,1.59
872984,-2.00,-2.40,-5.25,0.64,-1.42,-0.22,-1.25,-1.38,-0.58,-2.18,-4.00,2.02,2.07
894888,-2.83,-1.99,-6.92,1.94,-1.45,-0.24,-1.36,-1.31,-1.38,-1.75,-5.56,3.25,4.16
916856,-1.71,-3.51,-7.31,-0.34,-1.47,-0.28,-1.47,-1.30,-0.23,-3.23,-5.84,0.96,3.64
938792,-2.30,-2.90,-7.10,1.45,-1.50,-0.30,-1.58,-1.25,-0.80,-2.60,-5.52,2.70,3.85
960724,-2.08,-2.22,-4.58,-0.02,-1.52,-0.32,-1.64,-1.22,-0.56,-1.90,-2.94,1.21,1.07
982660,-2.92,-1.92,-5.97,1.73,-1.55,-0.34,-1.72,-1.17,-1.37,-1.58,-4.25,2.90,2.69
1004608,-2.88,-1.39,-4.95,1.01,-1.58,-0.35,-1.77,-1.13,-1.30,-1.04,-3.17,2.14,1.49
1026592,-3.78,-1.17,-6.23,1.28,-1.62,-0.36,-1.85,-1.09,-2.16,-0.81,-4.38,2.37,2.54
1048584,-3.96,-1.91,-6.17,2.50,-1.67,-0.37,-1.93,-1.03,-2.29,-1.55,-4.24,3.53,3.14
1070572,-3.40,-1.36,-0.93,-0.78,-1.69,-0.38,-1.91,-1.03,-1.71,-0.98,0.98,0.25,0.18
1092532,-2.91,-1.53,0.69,-3.59,-1.70,-0.40,-1.87,-1.07,-1.21,-1.12,2.56,-2.52,1.32
1114532,-3.04,-1.08,-1.79,-2.12,-1.72,-0.42,-1.87,-1.09,-1.32,-0.66,0.08,-1.04,0.15
1136496,-3.44,-0.90,-7.66,-0.26,-1.76,-0.42,-1.96,-1.07,-1.68,-0.47,-5.70,0.81,3.32
1158472,-2.77,-1.77,-8.47,-0.61,-1.80,-0.44,-2.07,-1.07,-0.97,-1.33,-6.41,0.46,4.11
1180468,-3.41,-1.87,-5.86,-2.02,-1.83,-0.46,-2.13,-1.08,-1.58,-1.41,-3.73,-0.93,1.55
1202492,-3.12,-2.19,-1.71,-1.92,-1.85,-0.48,-2.12,-1.10,-1.27,-1.71,0.41,-0.83,0.17
1224504,-3.54,-1.59,-0.43,-1.30,-1.87,-0.50,-2.10,-1.10,-1.68,-1.10,1.67,-0.20,0.36
1246504,-2.95,-2.50,-4.29,-1.34,-1.89,-0.52,-2.13,-1.10,-1.06,-1.98,-2.16,-0.24,0.56
1268524,-3.71,-2.49,-5.01,-0.38,-1.93,-0.54,-2.17,-1.09,-1.78,-1.95,-2.83,0.71,0.98
1290524,-2.96,-2.77,-6.15,1.82,-1.95,-0.56,-2.23,-1.05,-1.01,-2.21,-3.92,2.87,2.44
1312520,-2.85,-2.76,-2.09,2.43,-1.97,-0.58,-2.23,-1.00,-0.88,-2.18,0.14,3.43,1.27
1334512,-4.30,-2.17,8.20,-0.56,-1.97,-0.59,-2.08,-1.00,-2.32,-1.58,10.28,0.43,10.60
1356600,-4.17,-2.11,16.82,0.44,-1.96,-0.61,-1.82,-0.98,-2.22,-1.50,18.65,1.42,34.64
1378760,-3.77,-2.19,18.24,1.65,-1.93,-0.62,-1.55,-0.94,-1.84,-1.57,19.79,2.59,39.42
1400900,-3.71,-2.32,20.64,4.67,-1.90,-0.63,-1.25,-0.87,-1.82,-1.70,21.89,5.54,50.43
1423052,-4.27,-1.78,29.59,8.21,-1.85,-0.62,-0.84,-0.75,-2.43,-1.17,30.43,8.96,99.42
1445220,-4.01,-1.43,41.08,12.00,-1.77,-0.60,-0.29,-0.58,-2.25,-0.84,41.37,12.58,184.66
1467516,-1.88,-1.23,52.84,13.18,-1.64,-0.57,0.40,-0.40,-0.24,-0.66,52.44,13.58,289.61
1489804,1.21,-0.67,59.30,5.74,-1.47,-0.56,1.16,-0.32,2.68,-0.11,58.14,6.06,337.44
1511968,0.66,-0.35,60.98,-0.08,-1.30,-0.56,1.92,-0.32,1.95,0.20,59.06,0.24,344.46
1534100,2.27,-0.79,63.19,9.86,-1.11,-0.53,2.69,-0.19,3.38,-0.25,60.51,10.06,371.70
1556308,8.50,-1.03,66.87,14.02,-0.86,-0.50,3.48,-0.02,9.36,-0.52,63.39,14.03,417.96
1578556,11.32,-0.97,62.26,1.04,-0.60,-0.50,4.21,-0.01,11.92,-0.47,58.05,1.04,335.76
1600800,10.85,-1.28,58.06,-2.98,-0.36,-0.52,4.86,-0.04,11.20,-0.76,53.20,-2.94,282.90
1623072,10.41,-0.95,58.05,0.99,-0.12,-0.52,5.50,-0.03,10.53,-0.43,52.55,1.02,275.06
1645396,15.41,-0.99,54.53,10.98,0.15,-0.50,6.09,0.10,15.26,-0.50,48.45,10.88,248.21
1667820,16.82,-0.77,48.41,5.18,0.41,-0.49,6.59,0.16,16.41,-0.28,41.83,5.02,180.67
1690148,15.65,-1.39,57.37,0.73,0.68,-0.49,7.18,0.16,14.97,-0.90,50.20,0.57,253.48
1712404,17.99,0.00,63.86,3.97,0.99,-0.48,7.83,0.21,17.01,0.48,56.03,3.76,317.43
1734672,20.91,0.64,59.01,-0.85,1.30,-0.47,8.42,0.20,19.61,1.11,50.59,-1.05,260.74
1756964,22.18,-0.45,60.09,1.80,1.62,-0.47,9.00,0.21,20.56,0.01,51.09,1.59,266.65
1779204,24.59,0.17,59.69,1.92,1.96,-0.46,9.57,0.23,22.63,0.62,50.12,1.69,258.83
1801480,25.85,0.36,58.18,-2.50,2.30,-0.46,10.11,0.20,23.55,0.82,48.07,-2.71,240.21
1823812,29.26,1.17,50.21,-2.70,2.64,-0.45,10.56,0.17,26.62,1.62,39.66,-2.88,170.41
1846168,27.98,1.30,46.17,-4.03,2.96,-0.45,10.95,0.13,25.02,1.74,35.22,-4.16,136.84
1868504,28.52,0.68,49.94,-1.62,3.29,-0.44,11.37,0.11,25.23,1.12,38.57,-1.73,160.05
1890860,31.85,0.23,52.03,-0.85,3.65,-0.44,11.81,0.10,28.19,0.67,40.22,-0.96,175.87
1913208,33.70,0.34,53.18,-8.12,4.02,-0.45,12.25,0.02,29.68,0.79,40.93,-8.14,189.71
1935560,31.52,1.03,51.37,-8.26,4.37,-0.46,12.66,-0.07,27.15,1.49,38.71,-8.19,169.55
1957928,35.88,0.36,45.22,-1.82,4.73,-0.46,13.01,-0.08,31.15,0.82,32.21,-1.73,122.20
1980300,37.78,-0.08,35.08,-1.95,5.07,-0.46,13.24,-0.10,32.70,0.38,21.84,-1.85,68.73
2002616,37.39,0.02,35.76,-4.44,5.41,-0.47,13.48,-0.14,31.98,0.48,22.27,-4.30,71.18
2024936,39.31,-1.19,38.69,-4.50,5.77,-0.48,13.75,-0.19,33.54,-0.71,24.94,-4.32,85.71
2047320,38.19,-1.00,40.49,-4.58,6.12,-0.50,14.02,-0.23,32.07,-0.50,26.47,-4.35,91.59
2069648,40.83,-0.36,44.17,-3.30,6.49,-0.51,14.33,-0.26,34.33,0.15,29.84,-3.04,112.40
2092016,44.15,-2.13,37.07,-1.19,6.87,-0.52,14.56,-0.27,37.28,-1.61,22.50,-0.92,77.81
2114372,46.74,-1.31,31.25,1.57,7.25,-0.52,14.74,-0.25,39.49,-0.79,16.51,1.83,58.26
2136712,46.08,-0.70,24.87,0.38,7.60,-0.52,14.85,-0.25,38.49,-0.17,10.02,0.63,39.36
2159028,46.53,-0.35,19.15,1.07,7.93,-0.52,14.91,-0.23,38.59,0.17,4.23,1.30,31.51
2181284,46.79,-0.45,11.73,3.77,8.25,-0.51,14.90,-0.20,38.54,0.06,-3.18,3.97,32.08
2203524,48.99,0.46,8.44,3.83,8.57,-0.50,14.86,-0.16,40.42,0.96,-6.42,3.99,38.16
2225752,48.16,-0.45,2.98,-2.23,8.87,-0.50,14.78,-0.18,39.28,0.05,-11.80,-2.05,44.91
2248044,46.69,-0.73,3.28,-3.50,9.15,-0.51,14.69,-0.21,37.54,-0.22,-11.41,-3.29,42.00
2270352,47.73,-1.30,0.34,1.22,9.44,-0.51,14.58,-0.20,38.29,-0.78,-14.25,1.42,49.51
2292616,47.29,-0.64,-8.09,3.44,9.69,-0.51,14.40,-0.16,37.60,-0.13,-22.49,3.60,79.61
2314884,47.03,-0.43,-7.54,0.55,9.94,-0.51,14.23,-0.16,37.09,0.07,-21.77,0.71,74.44
2337136,45.01,-0.61,-8.60,-3.83,10.17,-0.52,14.05,-0.19,34.84,-0.10,-22.64,-3.64,76.33
2359496,44.01,-1.77,-7.19,-1.79,10.40,-0.53,13.88,-0.20,33.61,-1.24,-21.07,-1.58,66.82
2381860,44.67,-0.81,-5.25,0.44,10.63,-0.53,13.74,-0.20,34.04,-0.28,-18.99,0.64,58.88
2404196,43.41,-1.55,-5.97,-1.34,10.85,-0.54,13.58,-0.21,32.57,-1.01,-19.55,-1.13,59.20
2426580,45.13,-1.44,-2.67,0.05,11.08,-0.55,13.47,-0.21,34.04,-0.90,-16.14,0.25,48.93
2448908,44.89,-1.43,-5.95,0.63,11.30,-0.55,13.32,-0.20,33.59,-0.88,-19.27,0.83,59.41
2471240,44.98,-1.00,-6.79,3.50,11.52,-0.55,13.17,-0.17,33.46,-0.45,-19.97,3.67,63.19
2493588,45.02,-0.58,-6.32,1.56,11.74,-0.54,13.03,-0.16,33.28,-0.04,-19.35,1.71,59.50
2515916,45.02,-0.60,-6.47,-0.06,11.95,-0.54,12.89,-0.16,33.07,-0.06,-19.36,0.10,58.98
2538240,43.44,-1.50,-3.15,-2.31,12.16,-0.55,12.77,-0.17,31.28,-0.94,-15.92,-2.13,45.10
2560644,43.97,-1.37,-3.54,-0.11,12.37,-0.56,12.66,-0.17,31.61,-0.81,-16.20,0.07,45.96
2583000,44.09,-1.38,-5.01,2.81,12.57,-0.56,12.53,-0.15,31.53,-0.82,-17.54,2.96,51.22
2605360,44.10,-0.54,-5.89,2.35,12.77,-0.55,12.40,-0.13,31.33,0.01,-18.30,2.48,53.40
