time,z_0,z_1,z_2,z_3,x_0,x_1,x_2,x_3,y_0,y_1,y_2,y_3,epsilon
18520,2.07,4.49,-1.80,5.86,0.04,0.09,-0.16,0.53,2.03,4.40,-1.64,5.33,3.29
40436,-0.52,5.16,-1.54,3.94,0.03,0.19,-0.28,0.82,-0.55,4.97,-1.26,3.12,1.53
62500,0.99,5.50,-0.50,3.40,0.04,0.30,-0.42,2.44,0.95,5.20,-0.08,0.96,0.58
84444,-0.89,3.52,2.53,4.93,0.03,0.37,0.72,3.41,-0.92,3.15,1.81,1.53,0.56
106376,0.40,2.39,7.77,3.73,0.06,0.42,2.68,3.50,0.34,1.97,5.09,0.23,1.95
128320,1.91,3.63,3.50,-0.84,0.10,0.48,2.86,2.55,1.81,3.15,0.63,-3.39,1.19
150312,8.78,9.25,-3.47,3.47,0.26,0.65,-1.22,3.14,8.53,8.61,-2.25,0.32,3.07
172428,5.22,9.17,-6.40,4.06,0.35,0.82,-6.39,4.06,4.87,8.35,-0.00,0.00,1.84
194504,-2.09,5.11,-0.82,-1.47,-1.04,3.25,-0.82,-1.47,-1.05,1.86,0.00,-0.00,0.04
216652,-0.79,4.07,0.69,-1.85,-0.95,3.54,0.69,-1.85,0.16,0.53,0.00,-0.00,0.00
238696,-0.08,3.87,0.44,-2.31,-0.72,3.62,0.51,-2.18,0.64,0.24,-0.07,-0.13,0.01
260764,-1.84,4.77,4.40,-4.52,-0.95,3.85,2.14,-3.16,-0.89,0.92,2.26,-1.36,0.43
282804,-1.48,3.93,9.89,-2.35,-1.02,3.86,4.43,-2.92,-0.47,0.07,5.46,0.57,2.13
304800,3.18,5.41,14.99,-6.76,-0.36,4.07,6.86,-3.80,3.54,1.34,8.14,-2.96,6.02
326920,2.78,4.89,11.97,-6.69,0.07,4.16,10.16,-5.67,2.71,0.73,1.81,-1.02,0.29
348976,1.74,4.59,18.95,-37.18,0.32,4.13,13.62,-18.06,1.43,0.47,5.33,-19.12,23.94
371296,4.89,1.10,12.58,-42.84,0.83,3.73,12.93,-34.56,4.06,-2.63,-0.35,-8.28,2.71
393704,6.12,1.93,4.12,-31.98,1.38,3.43,4.13,-31.99,4.74,-1.50,-0.01,0.00,0.45
415920,4.33,3.02,2.32,-34.21,1.64,3.28,2.82,-33.59,2.68,-0.26,-0.50,-0.62,0.15
438036,2.89,-0.55,-0.24,-21.25,1.75,2.88,1.54,-28.41,1.14,-3.43,-1.78,7.16,3.40
460196,6.39,-2.69,8.37,4.26,2.10,2.40,6.11,-6.56,4.29,-5.09,2.26,10.82,4.87
482432,8.25,-0.38,1.54,16.49,2.55,2.19,1.54,16.47,5.70,-2.56,-0.00,0.01,0.73
504612,6.78,0.37,1.65,6.85,2.83,2.12,1.62,9.53,3.95,-1.75,0.03,-2.67,0.55
526680,3.46,2.28,0.32,3.13,2.87,2.15,1.08,6.84,0.59,0.12,-0.75,-3.71,0.84
548660,5.09,2.45,-4.55,3.88,2.99,2.19,-0.59,5.96,2.10,0.27,-3.96,-2.09,1.50
570676,2.69,3.34,-5.88,5.37,2.96,2.27,-1.80,5.83,-0.27,1.07,-4.08,-0.46,1.32
592788,2.82,4.57,-6.75,11.34,2.94,2.42,-5.00,9.40,-0.11,2.15,-1.75,1.95,0.33
614928,4.35,3.95,-8.55,6.46,2.98,2.52,-6.39,8.24,1.37,1.43,-2.15,-1.78,0.55
636968,3.91,1.64,-6.21,1.94,3.00,2.50,-6.34,6.46,0.91,-0.85,0.13,-4.52,1.50
658976,3.58,1.84,-2.00,3.95,3.01,2.48,-5.38,5.91,0.57,-0.65,3.38,-1.95,1.20
681088,4.56,2.04,-2.81,7.39,3.06,2.49,-3.72,6.86,1.50,-0.45,0.91,0.53,0.09
703152,4.73,2.03,-4.73,5.47,3.11,2.49,-4.12,6.31,1.62,-0.46,-0.62,-0.85,0.12
