AccX,AccY,AccZ,GyroX,GyroY,GyroZ
253.00,145.00,-4424.00,38.00,3.00,-24.00
266.00,117.00,-4449.00,35.00,13.00,-31.00
294.00,146.00,-4438.00,43.00,12.00,-36.00
279.00,129.00,-4411.00,33.00,6.00,-24.00
254.00,143.00,-4451.00,42.00,6.00,-35.00
278.00,138.00,-4414.00,27.00,2.00,-32.00
262.00,136.00,-4447.00,43.00,1.00,-30.00
253.00,138.00,-4447.00,36.00,-2.00,-21.00
252.00,159.00,-4455.00,35.00,3.00,-30.00
242.00,143.00,-4449.00,40.00,11.00,-29.00
262.00,164.00,-4464.00,32.00,1.00,-28.00
278.00,150.00,-4452.00,33.00,4.00,-36.00
263.00,137.00,-4423.00,29.00,1.00,-29.00
225.00,155.00,-4428.00,30.00,6.00,-32.00
294.00,159.00,-4460.00,35.00,6.00,-17.00
271.00,151.00,-4435.00,45.00,9.00,-31.00
276.00,141.00,-4467.00,33.00,5.00,-38.00
253.00,140.00,-4449.00,41.00,8.00,-25.00
260.00,165.00,-4424.00,46.00,-6.00,-26.00
237.00,140.00,-4413.00,27.00,8.00,-24.00
273.00,144.00,-4439.00,41.00,-5.00,-32.00
245.00,143.00,-4398.00,45.00,3.00,-29.00
252.00,139.00,-4438.00,37.00,20.00,-34.00
227.00,154.00,-4436.00,30.00,10.00,-38.00
250.00,158.00,-4433.00,41.00,5.00,-22.00
265.00,149.00,-4433.00,41.00,11.00,-31.00
276.00,143.00,-4443.00,35.00,6.00,-27.00
244.00,139.00,-4460.00,48.00,10.00,-28.00
237.00,145.00,-4445.00,36.00,9.00,-20.00
257.00,169.00,-4440.00,34.00,5.00,-10.00
244.00,148.00,-4467.00,30.00,2.00,-27.00
262.00,130.00,-4414.00,42.00,2.00,-20.00
279.00,135.00,-4464.00,38.00,4.00,-33.00
265.00,161.00,-4414.00,38.00,-5.00,-40.00
281.00,151.00,-4430.00,30.00,5.00,-32.00
268.00,154.00,-4454.00,37.00,9.00,-32.00
258.00,140.00,-4423.00,31.00,12.00,-38.00
261.00,147.00,-4438.00,45.00,6.00,-21.00
259.00,143.00,-4459.00,45.00,3.00,-12.00
245.00,158.00,-4439.00,32.00,11.00,-38.00
